well_id,well_name,month,oil_bbl,gas_mcf,days
well_001,Reeves 1H,2022-02,17213.9,22767.0,18
well_001,Reeves 1H,2022-03,24210.4,25933.2,30
well_001,Reeves 1H,2022-04,25093.3,30052.4,28
well_001,Reeves 1H,2022-05,19686.8,25468.2,30
well_001,Reeves 1H,2022-06,20022.5,21869.6,29
well_001,Reeves 1H,2022-07,16969.8,23124.6,31
well_001,Reeves 1H,2022-08,19534.3,23921.6,31
well_001,Reeves 1H,2022-09,16840.4,21520.4,31
well_001,Reeves 1H,2022-10,15047.5,19837.4,31
well_001,Reeves 1H,2022-11,14310.2,16892.3,30
well_001,Reeves 1H,2022-12,13188.4,14997.4,30
well_001,Reeves 1H,2023-01,12965.9,16361.9,31
well_001,Reeves 1H,2023-02,10863.7,14312.2,28
well_001,Reeves 1H,2023-03,12176.5,15163.6,29
well_001,Reeves 1H,2023-04,11993.1,14727.6,29
well_001,Reeves 1H,2023-05,11373.5,15520.3,28
well_001,Reeves 1H,2023-06,10131.8,12560.7,30
well_001,Reeves 1H,2023-07,11449.0,13494.6,31
well_001,Reeves 1H,2023-08,10074.2,13591.1,30
well_001,Reeves 1H,2023-09,8695.7,11151.6,30
well_001,Reeves 1H,2023-10,9317.0,10079.1,31
well_001,Reeves 1H,2023-11,9836.3,12317.9,31
well_001,Reeves 1H,2023-12,7854.8,9287.1,29
well_001,Reeves 1H,2024-01,9467.6,11651.9,31
well_001,Reeves 1H,2024-02,7961.3,10164.1,28
well_001,Reeves 1H,2024-03,7731.8,8436.0,29
well_001,Reeves 1H,2024-04,7138.4,8736.2,28
well_001,Reeves 1H,2024-05,3717.5,5173.8,14
well_001,Reeves 1H,2024-06,9488.5,11468.1,31
well_001,Reeves 1H,2024-07,7015.0,8342.4,28
well_001,Reeves 1H,2024-08,7840.6,9663.8,28
well_001,Reeves 1H,2024-09,7240.4,8428.3,30
well_001,Reeves 1H,2024-10,6657.9,7981.2,29
well_001,Reeves 1H,2024-11,7481.4,9622.9,30
well_001,Reeves 1H,2024-12,6016.2,6589.5,29
well_001,Reeves 1H,2025-01,6336.4,7002.3,29
well_001,Reeves 1H,2025-02,6179.3,6615.0,30
well_001,Reeves 1H,2025-03,6027.1,6545.5,29
well_001,Reeves 1H,2025-04,6129.8,7702.3,29
well_001,Reeves 1H,2025-05,2622.6,3588.0,12
well_001,Reeves 1H,2025-06,5313.6,6039.3,28
well_001,Reeves 1H,2025-07,6220.5,8378.9,28
well_001,Reeves 1H,2025-08,5551.4,6578.3,31
well_001,Reeves 1H,2025-09,5304.5,6347.1,29
well_001,Reeves 1H,2025-10,5079.9,6281.8,28
well_001,Reeves 1H,2025-11,5996.8,7589.2,31
well_001,Reeves 1H,2025-12,4761.8,6507.5,28
well_001,Reeves 1H,2026-01,4662.8,5718.2,28
well_001,Reeves 1H,2026-02,4845.3,5807.0,30
well_001,Reeves 1H,2026-03,5033.6,6300.5,30
well_001,Reeves 1H,2026-04,5004.6,5150.3,31
well_001,Reeves 1H,2026-05,5105.8,5647.7,30
well_002,Midland 2H,2023-03,10863.3,10370.8,29
well_002,Midland 2H,2023-04,11973.7,14257.8,31
well_002,Midland 2H,2023-05,9521.7,9578.9,28
well_002,Midland 2H,2023-06,10069.6,10915.4,31
well_002,Midland 2H,2023-07,9103.8,9938.8,30
well_002,Midland 2H,2023-08,8312.2,7263.6,29
well_002,Midland 2H,2023-09,7557.6,8448.5,31
well_002,Midland 2H,2023-10,5802.0,6339.4,28
well_002,Midland 2H,2023-11,6540.5,6838.3,29
well_002,Midland 2H,2023-12,6394.4,6885.7,31
well_002,Midland 2H,2024-01,5793.7,5729.0,30
well_002,Midland 2H,2024-02,5619.4,5905.5,30
well_002,Midland 2H,2024-03,5676.6,5079.3,30
well_002,Midland 2H,2024-04,2537.9,2584.5,15
well_002,Midland 2H,2024-05,4244.1,4765.1,29
well_002,Midland 2H,2024-06,4802.5,5327.8,28
well_002,Midland 2H,2024-07,4244.6,4831.5,30
well_002,Midland 2H,2024-08,4247.6,4266.1,30
well_002,Midland 2H,2024-09,4535.3,5228.1,31
well_002,Midland 2H,2024-10,4101.6,3701.3,29
well_002,Midland 2H,2024-11,4444.3,4219.4,31
well_002,Midland 2H,2024-12,3460.1,3612.9,28
well_002,Midland 2H,2025-01,3843.3,4408.5,29
well_002,Midland 2H,2025-02,3972.2,3803.5,30
well_002,Midland 2H,2025-03,3295.6,3721.0,28
well_002,Midland 2H,2025-04,3043.4,2878.7,28
well_002,Midland 2H,2025-05,3236.2,3391.4,28
well_002,Midland 2H,2025-06,3303.6,3422.0,31
well_002,Midland 2H,2025-07,3249.1,3608.7,29
well_002,Midland 2H,2025-08,3239.9,3418.9,29
well_002,Midland 2H,2025-09,962.3,1048.8,9
well_002,Midland 2H,2025-10,1276.2,1229.7,13
well_002,Midland 2H,2025-11,2837.1,2949.6,28
well_002,Midland 2H,2025-12,2784.7,2884.2,30
well_002,Midland 2H,2026-01,2834.9,3179.7,29
well_002,Midland 2H,2026-02,1667.5,1678.8,20
well_002,Midland 2H,2026-03,2435.8,2758.2,29
well_002,Midland 2H,2026-04,2344.4,2228.8,30
well_002,Midland 2H,2026-05,2492.3,2449.5,31
well_003,Loving 3H,2024-04,9038.5,7131.0,28
well_003,Loving 3H,2024-05,10955.2,9874.2,31
well_003,Loving 3H,2024-06,8970.3,7854.8,31
well_003,Loving 3H,2024-07,8081.9,6747.4,28
well_003,Loving 3H,2024-08,8559.7,6940.5,31
well_003,Loving 3H,2024-09,7272.6,6922.9,30
well_003,Loving 3H,2024-10,6999.2,5866.3,31
well_003,Loving 3H,2024-11,7916.7,6111.8,31
well_003,Loving 3H,2024-12,3387.6,3122.6,19
well_003,Loving 3H,2025-01,5457.2,4478.5,29
well_003,Loving 3H,2025-02,5594.1,4899.1,28
well_003,Loving 3H,2025-03,5562.9,4530.2,31
